time,open,high,low,close,volume
2022-06-13,0.3433,0.35004,0.3007,0.31072,93145451.00990675
2022-06-14,0.31133,0.32554,0.29338,0.32108,81476593.54301007
2022-06-15,0.32101,0.34654,0.29733,0.34371,90279376.9088631
2022-06-16,0.3429,0.34704,0.30689,0.31261,72671109.4710133
2022-06-17,0.31267,0.33918,0.31025,0.32064,87781219.90662104
2022-06-18,0.3204,0.32579,0.28704,0.30752,28010184.63114847
2022-06-19,0.30777,0.332,0.29781,0.32585,34179639.64751138
2022-06-20,0.3257,0.32804,0.31304,0.32214,63663897.24872299
2022-06-21,0.32209,0.33692,0.31804,0.32842,55811948.53155555
2022-06-22,0.32757,0.32918,0.31803,0.32198,53641051.26400005
2022-06-23,0.3224,0.33641,0.321,0.33526,52087736.77611105
2022-06-24,0.33526,0.38709,0.33523,0.36673,117787764.85939205
2022-06-25,0.3671,0.37354,0.35404,0.36716,13249076.05521113
2022-06-26,0.36659,0.37454,0.35754,0.35866,20361039.35352812
2022-06-27,0.35872,0.3668,0.34701,0.35303,69133145.08897442
2022-06-28,0.35344,0.35545,0.33499,0.337,84966396.82824968
2022-06-29,0.33715,0.34093,0.31979,0.32881,82241070.92518584
2022-06-30,0.32884,0.33304,0.30557,0.33233,83036794.88920243
2022-07-01,0.3324,0.33559,0.30929,0.31234,117801763.21375027
2022-07-02,0.31352,0.31739,0.30891,0.31506,21942533.34413727
2022-07-03,0.31533,0.32517,0.3083,0.32104,23512494.59762082
2022-07-04,0.32112,0.32929,0.31392,0.32793,61957133.70562096
2022-07-05,0.32808,0.33043,0.31182,0.32493,72435567.9333635
2022-07-06,0.32546,0.33354,0.31839,0.332,79850756.48680994
2022-07-07,0.33205,0.34504,0.32585,0.3418,68052029.57093485
2022-07-08,0.34215,0.35853,0.33462,0.33927,104874226.74211915
2022-07-09,0.33989,0.34738,0.3391,0.34509,13109030.82821061
2022-07-10,0.34458,0.34458,0.31915,0.32484,22489695.41693215
2022-07-11,0.32518,0.32861,0.31054,0.315,63280443.50671185
2022-07-12,0.3145,0.31757,0.30725,0.31118,59219882.37315655
2022-07-13,0.31012,0.32553,0.302,0.32353,64414086.6892762
2022-07-14,0.32358,0.3336,0.31193,0.33349,59155041.58977915
2022-07-15,0.3334,0.34846,0.3266,0.33386,93657491.37696743
2022-07-16,0.33412,0.3561,0.33115,0.35041,22064999.29906069
2022-07-17,0.35089,0.36104,0.3408,0.34282,17085488.49194388
2022-07-18,0.3433,0.36965,0.34282,0.36553,58881287.7897688
2022-07-19,0.36552,0.37654,0.3513,0.3733,56490102.97535143
2022-07-20,0.37266,0.38158,0.35743,0.36331,48560664.31062071
2022-07-21,0.36175,0.3684,0.34811,0.36661,44788995.29499859
2022-07-22,0.36602,0.37128,0.35404,0.35836,55334263.57980179
2022-07-23,0.35786,0.36249,0.34983,0.35946,5529495.48219813
2022-07-24,0.3595,0.36664,0.35602,0.35894,8304124.03517667
2022-07-25,0.35874,0.35979,0.33504,0.33625,55788524.34287905
2022-07-26,0.33553,0.33804,0.32535,0.33804,51519050.91160545
