time,open,high,low,close,volume
2022-04-30 01:00:00,2826.06,2835.09,2821.36,2826.31,71.19875255
2022-04-30 02:00:00,2827.04,2838.31,2824.11,2826.02,49.27520135
2022-04-30 03:00:00,2826.02,2826.65,2810.89,2819.68,31.28093904
2022-04-30 04:00:00,2819.83,2823.63,2809.7,2821.34,11.01754079
2022-04-30 05:00:00,2822.27,2841.87,2819.12,2837.73,71.07177108
2022-04-30 06:00:00,2837.73,2840.21,2826.06,2830.72,68.70490215
2022-04-30 07:00:00,2832.56,2834.2,2824.51,2830.7,31.23958561
2022-04-30 08:00:00,2829.36,2833.81,2821.81,2825.5,22.56774673
2022-04-30 09:00:00,2823.5,2835.27,2817.92,2833.62,40.83860177
2022-04-30 10:00:00,2835.17,2840.55,2830.12,2830.29,69.36056679
2022-04-30 11:00:00,2831.54,2836.59,2830.13,2831.71,150.14504049
2022-04-30 12:00:00,2831.34,2837.4,2822.78,2826.25,66.83121168
2022-04-30 13:00:00,2825.22,2831.07,2813.96,2820.71,77.7621784
2022-04-30 14:00:00,2822.98,2824.56,2780.0,2782.75,244.33967856
2022-04-30 15:00:00,2781.48,2824.49,2771.95,2817.07,430.35089746
2022-04-30 16:00:00,2816.81,2822.59,2800.0,2802.39,96.91128852
2022-04-30 17:00:00,2801.39,2805.07,2781.29,2786.04,450.28946427
2022-04-30 18:00:00,2786.45,2794.97,2775.95,2794.87,107.15379898
2022-04-30 19:00:00,2795.46,2810.99,2789.74,2807.97,115.4264241
2022-04-30 20:00:00,2807.25,2807.75,2786.85,2790.24,83.14880723
2022-04-30 21:00:00,2789.56,2801.06,2786.07,2797.89,164.46737798
2022-04-30 22:00:00,2793.58,2798.18,2780.53,2782.44,128.42772086
2022-04-30 23:00:00,2782.72,2785.94,2716.76,2728.08,636.76890829
2022-05-01 00:00:00,2728.08,2746.84,2718.2,2738.06,539.43774221
2022-05-01 01:00:00,2737.68,2778.85,2725.42,2769.85,884.61434454
2022-05-01 02:00:00,2771.18,2780.39,2755.49,2758.77,140.04678863
2022-05-01 03:00:00,2760.56,2777.53,2760.31,2776.37,33.12877962
2022-05-01 04:00:00,2778.19,2782.05,2766.98,2773.35,36.4345002
2022-05-01 05:00:00,2775.5,2796.26,2770.06,2782.85,70.96908237
2022-05-01 06:00:00,2783.11,2790.5,2772.74,2774.53,62.77735229
2022-05-01 07:00:00,2777.3,2778.48,2765.83,2767.26,416.41360374
2022-05-01 08:00:00,2766.23,2783.79,2766.23,2781.21,584.80255907
2022-05-01 09:00:00,2781.27,2781.54,2759.5,2770.13,192.64730098
2022-05-01 10:00:00,2770.53,2776.91,2762.61,2767.43,55.64927626
2022-05-01 11:00:00,2767.85,2769.11,2755.11,2758.39,95.01481375
2022-05-01 12:00:00,2758.73,2770.6,2753.08,2764.34,112.78468766
2022-05-01 13:00:00,2764.34,2772.28,2757.6,2759.21,47.78968887
2022-05-01 14:00:00,2759.04,2767.64,2756.1,2761.21,36.51723802
2022-05-01 15:00:00,2761.86,2820.0,2761.86,2805.79,334.12988306
2022-05-01 16:00:00,2808.21,2829.8,2803.24,2812.47,142.92212305
2022-05-01 17:00:00,2812.99,2820.66,2803.15,2807.18,188.73337905
2022-05-01 18:00:00,2807.64,2809.08,2772.56,2774.59,142.19761073
2022-05-01 19:00:00,2771.18,2776.4,2755.57,2764.96,114.59168657
2022-05-01 20:00:00,2766.26,2817.44,2760.21,2817.44,457.83434227
2022-05-01 21:00:00,2813.35,2819.86,2794.28,2809.38,102.29308578
2022-05-01 22:00:00,2808.93,2824.6,2793.99,2808.1,271.72379118
2022-05-01 23:00:00,2805.24,2847.66,2802.1,2826.82,207.65802809
2022-05-02 00:00:00,2826.79,2850.0,2823.39,2841.3,247.95360691
2022-05-02 01:00:00,2846.09,2848.94,2834.25,2835.73,53.94067666
2022-05-02 02:00:00,2834.51,2841.94,2830.92,2839.84,95.9799473
2022-05-02 03:00:00,2839.84,2846.94,2835.75,2841.3,69.64109893
2022-05-02 04:00:00,2841.3,2866.03,2832.9,2857.74,187.00586386
2022-05-02 05:00:00,2858.23,2866.6,2849.83,2861.86,80.59948576
2022-05-02 06:00:00,2861.86,2873.45,2856.2,2858.42,53.42233567
2022-05-02 07:00:00,2858.79,2866.5,2841.32,2846.23,102.76019635
2022-05-02 08:00:00,2846.18,2856.0,2832.33,2839.97,406.32761337
2022-05-02 09:00:00,2838.63,2847.38,2808.29,2809.58,2377.34767501
2022-05-02 10:00:00,2808.36,2819.97,2802.88,2807.54,345.5578368
2022-05-02 11:00:00,2806.8,2809.4,2788.44,2794.08,205.24962872
2022-05-02 12:00:00,2793.11,2810.54,2788.66,2795.51,191.18269232
2022-05-02 13:00:00,2795.51,2842.64,2779.99,2830.21,1073.80192318
2022-05-02 14:00:00,2828.28,2850.33,2806.39,2825.56,580.45359369
2022-05-02 15:00:00,2825.29,2834.91,2813.77,2827.94,248.52550802
2022-05-02 16:00:00,2827.37,2835.98,2806.5,2808.31,254.39128591
2022-05-02 17:00:00,2807.78,2810.89,2784.9,2797.19,335.20620767
2022-05-02 18:00:00,2793.98,2808.95,2778.77,2801.87,571.95508442
2022-05-02 19:00:00,2801.92,2850.75,2797.68,2840.85,575.33072605
2022-05-02 20:00:00,2842.14,2847.86,2826.91,2827.87,162.87225193
2022-05-02 21:00:00,2827.87,2870.62,2823.95,2867.46,171.30465877
2022-05-02 22:00:00,2869.01,2882.73,2861.07,2861.46,188.78659548
2022-05-02 23:00:00,2863.73,2874.95,2850.03,2856.35,103.72215197
2022-05-03 00:00:00,2858.08,2862.02,2837.03,2837.74,42.65186351
2022-05-03 01:00:00,2838.66,2846.05,2831.47,2843.92,89.8602199
2022-05-03 02:00:00,2844.2,2853.64,2830.82,2839.59,106.54402742
2022-05-03 03:00:00,2840.01,2855.86,2840.01,2847.93,198.74699669
2022-05-03 04:00:00,2851.81,2854.87,2844.69,2849.69,130.73698333
2022-05-03 05:00:00,2849.65,2849.65,2831.1,2844.65,289.30808717
2022-05-03 06:00:00,2845.4,2847.42,2837.21,2839.85,68.99502708
2022-05-03 07:00:00,2839.85,2847.42,2834.75,2843.89,98.3489192
2022-05-03 08:00:00,2844.37,2853.95,2843.87,2843.94,56.72499725
2022-05-03 09:00:00,2846.61,2846.61,2833.04,2833.74,122.99139369
2022-05-03 10:00:00,2833.37,2834.91,2824.02,2830.54,116.80432651
2022-05-03 11:00:00,2830.23,2849.28,2825.53,2849.28,197.64420486
2022-05-03 12:00:00,2849.27,2850.57,2836.46,2838.31,53.76317639
2022-05-03 13:00:00,2838.04,2841.6,2815.8,2834.91,247.13487832
2022-05-03 14:00:00,2834.47,2846.37,2818.44,2822.65,159.21573376
2022-05-03 15:00:00,2821.69,2836.21,2815.22,2823.74,246.92104107
2022-05-03 16:00:00,2822.52,2827.09,2800.66,2806.57,165.16246374
2022-05-03 17:00:00,2808.81,2826.05,2803.15,2803.15,152.3538903
2022-05-03 18:00:00,2801.42,2801.42,2770.0,2784.45,962.25450714
2022-05-03 19:00:00,2782.54,2782.54,2761.38,2773.1,1384.0080438
2022-05-03 20:00:00,2770.98,2791.43,2754.08,2787.93,561.05809027
2022-05-03 21:00:00,2784.65,2796.67,2771.11,2785.99,280.20222179
2022-05-03 22:00:00,2785.99,2799.92,2780.25,2783.8,132.15430603
2022-05-03 23:00:00,2785.48,2788.88,2775.22,2780.17,95.26018584
2022-05-04 00:00:00,2780.74,2795.55,2771.0,2793.91,120.40460831
2022-05-04 01:00:00,2794.5,2796.57,2787.38,2788.39,31.81371922
2022-05-04 02:00:00,2788.73,2812.21,2787.89,2793.06,171.98826527
2022-05-04 03:00:00,2794.37,2804.0,2793.11,2798.85,54.87617426
2022-05-04 04:00:00,2800.57,2811.98,2793.24,2794.42,112.25395161
